chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.25,Kolmogorov,324841,66181,1.379741516891444,,
logical,3,7,0.1,0.25,parallelGibbs,74306,67231,1.379741516891444,1.3840306459807514,0.0031086468275383083
logical,3,7,0.1,0.1,Kolmogorov,2140141,68533,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,124992,75997,1.379741516891444,1.378375001728117,-0.0009904138902810944
logical,3,7,0.1,0.075,Kolmogorov,2507720,79554,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,143653,81038,1.379741516891444,1.3767688416386992,-0.0021545160570671795
logical,3,7,0.1,0.05,Kolmogorov,8685322,85654,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,313203,79436,1.379741516891444,1.3796874106942603,-3.921473444212786e-05
logical,3,7,0.1,0.025,Kolmogorov,29146572,81180,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,624292,84336,1.379741516891444,1.3800853619347757,0.0002492097535098381
logical,3,7,0.1,0.01,Kolmogorov,148702268,98948,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1584081,93857,1.379741516891444,1.3793838237684335,-0.00025924647380071164
logical,3,7,0.1,0.0075,Kolmogorov,303290100,104892,1.379741516891444,,
logical,3,7,0.1,0.0075,parallelGibbs,2299699,103665,1.379741516891444,1.3798958876151428,0.00011188379983417818
logical,3,7,0.1,0.005,Kolmogorov,995353952,92804,1.379741516891444,,
logical,3,7,0.1,0.005,parallelGibbs,3637366,109260,1.379741516891444,1.3800359445815826,0.0002133933686376821
logical,3,7,0.1,0.0025,Kolmogorov,3248086792,102280,1.379741516891444,,
logical,3,7,0.1,0.0025,parallelGibbs,5887045,106697,1.379741516891444,1.3797477409400791,4.511025115228051e-06
logical,3,7,0.1,0.001,Kolmogorov,28763215797,121437,1.379741516891444,,
logical,3,7,0.1,0.001,parallelGibbs,33165851,118358,1.379741516891444,1.3797014469677351,-2.9041616287028837e-05
logical,3,7,0.1,0.0005,Kolmogorov,69332090137,121477,1.379741516891444,,
logical,3,7,0.1,0.0005,parallelGibbs,81019900,130506,1.379741516891444,1.3797474526715705,4.302095757635627e-06
logical,3,7,0.1,0.25,parallelGibbs (McMcPro),74827,66560,1.379741516891444,1.3840306459807512,0.0031086468275380863
logical,3,7,0.1,0.1,parallelGibbs (McMcPro),102015,71091,1.379741516891444,1.3778046325496291,-0.001403802319566827
logical,3,7,0.1,0.075,parallelGibbs (McMcPro),140013,78524,1.379741516891444,1.3793725519619289,-0.0002674159797310116
logical,3,7,0.1,0.05,parallelGibbs (McMcPro),268985,73973,1.379741516891444,1.3790957285311956,-0.00046805024879104096
logical,3,7,0.1,0.025,parallelGibbs (McMcPro),525946,89180,1.379741516891444,1.3797834401063727,3.0384832532259765e-05
logical,3,7,0.1,0.01,parallelGibbs (McMcPro),1586904,88866,1.379741516891444,1.3797943350805044,3.828122036897419e-05
logical,3,7,0.1,0.0075,parallelGibbs (McMcPro),2088479,101259,1.379741516891444,1.3795300655033422,-0.00015325434910307134
logical,3,7,0.1,0.005,parallelGibbs (McMcPro),3512200,102296,1.379741516891444,1.379613596167264,-9.271354280049326e-05
logical,3,7,0.1,0.0025,parallelGibbs (McMcPro),10875362,106453,1.379741516891444,1.3797647094393732,1.6809342652468473e-05
logical,3,7,0.1,0.001,parallelGibbs (McMcPro),45614205,117680,1.379741516891444,1.3797774987624205,2.6078704261633945e-05
logical,3,7,0.1,0.0005,parallelGibbs (McMcPro),165899378,134359,1.379741516891444,1.3797833487038058,3.0318586379918244e-05
logical,3,7,0.1,0.1,Kolmogorov,2119784,70352,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,126659,75115,1.379741516891444,1.3778559838540105,-0.0013665842582468724
logical,3,7,0.1,0.075,Kolmogorov,4328549,79655,1.379741516891444,,
