chain,n,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
Ising,3,0.0,0.25,Kolmogorov,2946624,1374864,1.0834766661594966,,
Ising,3,0.0,0.25,parallelGibbs,1423068,1416492,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.1,Kolmogorov,10838913,1573041,1.0834766661594966,,
Ising,3,0.0,0.1,parallelGibbs,1657648,1640112,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.075,Kolmogorov,9965136,1676700,1.0834766661594966,,
Ising,3,0.0,0.075,parallelGibbs,1722646,1679080,1.0834766661594966,1.0725081812542168,-0.010123415896125199
Ising,3,0.0,0.05,Kolmogorov,39865294,1764322,1.0834766661594966,,
Ising,3,0.0,0.05,parallelGibbs,1859851,1763951,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.025,Kolmogorov,163171960,1930768,1.0834766661594966,,
Ising,3,0.0,0.025,parallelGibbs,2244668,1940802,1.0834766661594966,1.0808614897862516,-0.002413689611345915
Ising,3,0.0,0.01,Kolmogorov,1103592553,2141497,1.0834766661594966,,
Ising,3,0.0,0.01,parallelGibbs,4211730,2177006,1.0834766661594966,1.0834524838923925,-2.2319139728055326e-05
Ising,3,0.0,0.0075,Kolmogorov,2018723421,2282901,1.0834766661594966,,
Ising,3,0.0,0.0075,parallelGibbs,4264484,2245104,1.0834766661594966,1.0835152452056498,3.5606716192626564e-05
Ising,3,0.0,0.005,Kolmogorov,4728785700,2343060,1.0834766661594966,,
Ising,3,0.0,0.005,parallelGibbs,5424882,2349506,1.0834766661594966,1.0835154914748635,3.583401154783061e-05
Ising,3,0.0,0.0025,Kolmogorov,20242023700,2506288,1.0834766661594966,,
Ising,3,0.0,0.0025,parallelGibbs,12483301,2507235,1.0834766661594966,1.083452839357194,-2.199106177980248e-05
Ising,3,0.0,0.001,Kolmogorov,137761145619,2748843,1.0834766661594966,,
Ising,3,0.0,0.001,parallelGibbs,30564454,2783046,1.0834766661594966,1.083481054994171,4.050696070789783e-06
Ising,3,0.0,0.0005,Kolmogorov,292894432505,2891921,1.0834766661594966,,
Ising,3,0.0,0.0005,parallelGibbs,60326015,2963293,1.0834766661594966,1.0834860984866492,8.70561171018025e-06
Ising,6,0.0,0.25,Kolmogorov,45505916,26566676,1.0834766661594966,,
Ising,6,0.0,0.25,parallelGibbs,26774282,26731370,1.0834766661594966,1.063962344728034,-0.018010836819064346
Ising,6,0.0,0.1,Kolmogorov,133758993,28694649,1.0834766661594966,,
Ising,6,0.0,0.1,parallelGibbs,29594588,29185136,1.0834766661594966,1.0639623447280335,-0.01801083681906479
Ising,6,0.0,0.25,Kolmogorov,44483392,25547752,1.0834766661594966,,
Ising,6,0.0,0.25,parallelGibbs,26046800,26023556,1.0834766661594966,1.0314855038865225,-0.04798549327071577
Ising,6,0.0,0.1,Kolmogorov,132574134,27566154,1.0834766661594966,,
Ising,6,0.0,0.1,parallelGibbs,27644654,27614258,1.0834766661594966,1.0314855038865227,-0.04798549327071555
Ising,6,0.0,0.075,Kolmogorov,212763213,28125851,1.0834766661594966,,
Ising,6,0.0,0.075,parallelGibbs,28584956,28545620,1.0834766661594966,1.0314855038865227,-0.04798549327071555
Ising,6,0.0,0.05,Kolmogorov,236495526,29121954,1.0834766661594966,,
Ising,6,0.0,0.05,parallelGibbs,30013280,29939972,1.0834766661594966,1.0314855038865227,-0.04798549327071555
Ising,6,0.0,0.025,Kolmogorov,1723347420,30806412,1.0834766661594966,,
Ising,6,0.0,0.025,parallelGibbs,31516616,31146500,1.0834766661594966,1.0314855038865227,-0.04798549327071555
Ising,6,0.0,0.01,Kolmogorov,5584772398,33098530,1.0834766661594966,,
Ising,6,0.0,0.01,parallelGibbs,37586534,33105806,1.0834766661594966,1.0336482408447245,-0.04598938479348558
Ising,6,0.0,0.0075,Kolmogorov,10079083028,33987536,1.0834766661594966,,
Ising,6,0.0,0.0075,parallelGibbs,38740435,33921775,1.0834766661594966,1.0340657790212415,-0.04560401592532437
Ising,6,0.0,0.005,Kolmogorov,23223441856,34856560,1.0834766661594966,,
Ising,6,0.0,0.005,parallelGibbs,44940354,35108142,1.0834766661594966,1.034082476292214,-0.04558860509877494
